NAME,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,AVERAGE,WEIGHTED_AVERAGE
"KUZ MOVKA, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,3,7,8,0,,,,,,14,4.857142857142857,6.8931657501963866
"VEL MO, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,17,9.0,13.764835164835166
"SEVERO ENISEJSK, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,17,9.0,14.104072398190045
"UST KAMO, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,14,7.0,11.81860465116279
"HAMAKAR, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,0.5,0.46875
"DERBINO, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,7,2,10,,,,,,,4.0,5.415074309978769
"MAKSIMOVO, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,2,0.6666666666666666,1.8644067796610169
"KATUGINO, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,4,1.6666666666666667,2.901808785529716
"SREDNJAJA OLEKMA, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,9,10,6,1,,,,,,,7.0,9.493920972644377
"KHORYO IN BURYAT, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,,,,,,5,1.5,4.385321100917431
"BUJAGA, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,2,2,5,,,,,,15,5.285714285714286,6.514434180138569
"P0DGORODNOYE, UP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,2,2,0,0,,,,,,,2.8333333333333335,6.911532385466034
"KZYL TAU, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,10,5,5,,,,,,5,4.0,4.671064204045734
"AYAK KUM, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,5,1,4,,,,,,2,2.5714285714285716,2.9244444444444446
"KARA KUM, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,6,11,4,2,10,10,13,14,9,7.25,7.934177912420821
"JETI KONUR, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,9,3,11,2,,,,,,3,5.285714285714286,5.6201923076923075
"BETPAK DALA STEPPE, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,4,7,12,7,0,2,7,15,5,1,5.416666666666667,5.971894322653176
"MAJMA, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,11,4.0,9.444444444444445
"CADAN, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,8,19,6,4,3,12,19,21,8,8,9.416666666666666,11.29624619546838
"KYZYL, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,,,,,,,10,2.75,7.650826446280992
"TOORA HEM, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,6,1,0,,,,,,15,3.7142857142857144,5.614569536423841
"SARYG SEP, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,6,1,5,17,12,15,20,14,13,8.916666666666666,11.480609877361617
"BAJANAUL, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,6,9,4,,,,,,4,5.285714285714286,5.788356909684439
"ONGUDAJ, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,6,2,0,11,10,16,15,17,17,8.0,11.112903225806452
"KOSH AGACH, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,2,0,3,12,11,12,14,7,5.333333333333333,7.628928571428571
"KAJNAR, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,11,5,6,1,15,9,5,7,2,2,5.416666666666667,5.709378733572282
"UST KAMENOGORSK, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,3,,,,,,,,,16,9.75,14.342377260981912
"ASSI, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,12,6,10,17,,,,,,0,7.285714285714286,9.63617606602476
"NARYNKOL, KZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,29,18,26,12,,,,,,2,18.142857142857142,23.452729693741677
