NAME,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,AVERAGE,WEIGHTED_AVERAGE
"KONSMO HOYLAND, NO",0,,,,,,,,,,0.0,0.0
"BYGLANDSFJORD, NO",7.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,8.0,4.0,3.0,3.0658399763802775
"SKAFSA, NO",2,1,4,0,3,3,0,,0,0,1.4444444444444444,1.889160554197229
"OKSOY FYR, NO",4.0,1.0,6.0,3.0,8.0,4.0,3.0,1.0,15.0,3.0,4.8,4.802523313219967
"KJEVIK, NO",12.0,9.0,14.0,13.0,16.0,12.0,14.0,5.0,21.0,5.0,12.1,12.103835616438356
"TORUNGEN FYR, NO",1.0,2.0,1.0,3.0,2.0,2.0,5.0,2.0,6.0,1.0,2.5,2.50592776399228
"GVARV, NO",6.0,3.0,0.0,1.0,7.0,3.0,7.0,4.0,8.0,1.0,4.0,4.403082851637765
"JOMFRULAND FYR, NO",0,,,,0,,,0,,,0.0,0.0
"FERDER LH, NO",4.0,3.0,4.0,4.0,3.0,6.0,1.0,1.0,4.0,0.0,3.0,3.000547495209417
"TORP, NO",5.0,4.0,3.0,5.0,3.0,7.0,4.0,3.0,12.0,6.0,5.2,5.248259860788863
"HAKADAL, NO",22.0,15.0,16.0,11.0,15.0,26.0,16.0,12.0,25.0,14.0,17.2,17.202846975088967
"RYGGE, NO",19.0,8.0,12.0,13.0,13.0,20.0,14.0,7.0,22.0,10.0,13.8,13.803449219819326
"KATTERJAKK, SW",5.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.2,1.2043394671793464
"TORNETRASK LAKE, SW",2,2,0,0,1,1,0,0,,0,0.6666666666666666,0.7684875510962468
"NIKKALUOKTA, SW",1,1,4,1,2,3,1,1,0,,1.5555555555555556,1.5380454381536242
"KIRUNA, SW",4.0,2.0,3.0,2.0,6.0,8.0,3.0,4.0,4.0,3.0,3.9,3.8819807427785418
"MALMBERGET, SW",8.0,5.0,4.0,0.0,1.0,4.0,3.0,2.0,4.0,2.0,3.3,3.401844532279315
"NAIMAKKA, SW",6.0,2.0,3.0,1.0,3.0,5.0,7.0,0.0,1.0,4.0,3.2,3.214759535655058
"LAINIO, SW",9.0,4.0,4.0,3.0,6.0,8.0,5.0,2.0,1.0,3.0,4.5,4.499725274725274
"PAJALA, SW",6.0,1.0,4.0,2.0,7.0,6.0,3.0,4.0,3.0,5.0,4.1,4.1072902338376895
"HEMAVAN, SW",5.0,1.0,2.0,0.0,4.0,6.0,1.0,1.0,8.0,0.0,2.8,2.7950413223140496
"KLIMPFJALL, SW",2.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,8.0,2.0,2.6,2.6036333608587943
"SYLARNA, SW",2.0,2.0,0.0,1.0,2.0,8.0,1.0,3.0,5.0,2.0,2.6,2.6003861003861
"KVIKKJOKK ARRENJARKA, SW",7.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,5.0,5.0,3.0,3.0035822540644808
"ARJEPLOG, SW",6.0,4.0,3.0,1.0,5.0,6.0,1.0,2.0,8.0,6.0,4.2,4.201261310666301
"GUNNARN, SW",14.0,7.0,6.0,0.0,7.0,12.0,3.0,4.0,10.0,6.0,6.9,6.903314160503972
"JOKKMOKK, SW",7.0,5.0,10.0,2.0,7.0,10.0,4.0,4.0,10.0,7.0,6.6,6.588283828382838
"ABRAUR, SW",5.0,3.0,4.0,0.0,7.0,6.0,4.0,3.0,8.0,6.0,4.6,4.6066209364747985
"VIDSEL, SW",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"STENSJON AUT, SW",8,7,6,3,,,,,,,6.0,6.239614243323442
"PALKEM, SW",5.0,3.0,10.0,3.0,12.0,6.0,1.0,4.0,6.0,6.0,5.6,5.61409491332765
"KALLAX, SW",4.0,3.0,5.0,1.0,2.0,4.0,2.0,0.0,3.0,3.0,2.7,2.7002463728442376
"RODKALLEN, SW",2,,,,,,,,,,2.0,2.0
"HAPARANDA, SW",8.0,4.0,5.0,2.0,7.0,3.0,1.0,4.0,2.0,6.0,4.2,4.210410355274029
"EDEVIK, SW",8.0,5.0,2.0,2.0,4.0,4.0,5.0,1.0,6.0,0.0,3.7,3.7241068748123687
"STORLIEN STORVALLEN, SW",7.0,3.0,8.0,3.0,1.0,8.0,4.0,0.0,5.0,2.0,4.1,4.100273972602739
"GADDEDE, SW",5.0,4.0,3.0,0.0,4.0,9.0,2.0,1.0,11.0,4.0,4.3,4.3021090112298
"OSTERSUND, SW",5.0,3.0,1.0,3.0,4.0,8.0,6.0,3.0,9.0,2.0,4.4,4.401313988502601
"NORRAKER, SW",2.0,6.0,2.0,1.0,6.0,6.0,2.0,1.0,7.0,6.0,3.9,3.9371772805507743
"STROMSUND, SW",10.0,5.0,5.0,0.0,7.0,5.0,3.0,4.0,11.0,6.0,5.6,5.627056154282473
"KRANGEDE, SW",11.0,0.0,4.0,4.0,6.0,2.0,4.0,5.0,7.0,2.0,4.5,4.524393723252496
"ASELE, SW",6,7,4,,,,,,,,5.666666666666667,5.852642276422764
"KRAMFORS SOLLEFTEA, SW",8.0,3.0,6.0,5.0,5.0,8.0,9.0,1.0,5.0,8.0,5.8,5.817337461300309
"VUOGGATJALME, SW",6.0,3.0,3.0,1.0,7.0,4.0,2.0,2.0,8.0,2.0,3.8,3.808333333333333
"NORDMALING, SW",4,2,4,2,9,6,2,0,,,3.625,4.064187866927593
"KRANGEDE AUTO, SW",1.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,3.0,4.0,1.8,1.8014360673847003
"UMEA, SW",3.0,1.0,5.0,1.0,8.0,4.0,3.0,1.0,6.0,3.0,3.5,3.4990360782153678
"HOLMOGADD, SW",5.0,6.0,8.0,2.0,8.0,9.0,4.0,1.0,5.0,1.0,4.9,4.899972595231571
"BJUROKLUBB LGT H, SW",7.0,2.0,3.0,4.0,5.0,4.0,0.0,2.0,6.0,7.0,4.0,4.003026967528894
"FLOTNINGEN, SW",11,9,9,4,4,10,0,,,,6.714285714285714,7.546766169154229
"RORBACKSNAS, SW",19.0,10.0,7.0,4.0,3.0,9.0,7.0,2.0,6.0,9.0,7.6,7.640787623066104
"STORSJO KAPELL, SW",5.0,7.0,2.0,3.0,5.0,8.0,5.0,0.0,8.0,4.0,4.7,4.71011673151751
"SARNA, SW",12.0,4.0,12.0,3.0,3.0,10.0,3.0,4.0,5.0,6.0,6.2,6.2087821043910525
"SVEG, SW",6.0,5.0,7.0,3.0,6.0,9.0,9.0,3.0,7.0,2.0,5.7,5.7011777595179405
"FREDRIKA, SW",5.0,2.0,4.0,1.0,9.0,7.0,6.0,5.0,3.0,3.0,4.5,4.59572431397575
"EDSBYN, SW",8.0,5.0,10.0,3.0,6.0,6.0,4.0,5.0,7.0,11.0,6.5,6.517961570593149
"FRANSTA, SW",3.0,6.0,7.0,4.0,5.0,10.0,6.0,4.0,4.0,6.0,5.5,5.50123524567664
"SUNDSVALL HARNOSAND, SW",8.0,5.0,6.0,4.0,9.0,7.0,6.0,2.0,3.0,7.0,5.7,5.700164293537788
"SODERHAMN SWE AFB, SW",6.0,6.0,11.0,6.0,6.0,7.0,5.0,2.0,5.0,2.0,5.6,5.601917808219178
"OSTMARK, SW",10.0,13.0,11.0,7.0,9.0,20.0,16.0,5.0,15.0,12.0,11.8,11.829704075935231
"ARVIKA, SW",10.0,5.0,8.0,1.0,6.0,2.0,8.0,5.0,6.0,6.0,5.7,5.739130434782608
"BLOMSKOG, SW",11.0,8.0,8.0,6.0,8.0,11.0,2.0,7.0,9.0,9.0,7.9,7.917816436712657
